Dateiname	Signatur	Titel	Link	Größe	Datum
HK11.jpg 	HK 0011	Scotland southern part	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?XXRAODsgSWvy.4W66PxqLF7vG.x3zB03qF3JmV4mc6bR17XYC0PrRLCW42ivJk6xSvm5Ag86FHLw4Q4h8y4ksXQSiR@de.bLUMxoab7AnQiL9whuj3@yOb.hvDT0oLByyEqfEtAF@zvQfQD0zTe88A/HK11.jpg#	24229.72 KB	02.12.15
HK13.jpg 	HK 0013	Carte d'Artois et des environs	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?KTnkdOXVwPbLCNWa7FelJ65g49cOSyoBTK5kGM5m3anfzoCJiZqy3MHqJQrG1LtcRfobcEL27hGODh9UB7iiQCBoDjc6.tmgADbiSYGQi4GtcuyAyXYj0rhK9SRBCQLvF14w.L5OJ1ew@pjRO9sogA/HK13.jpg#	22076.40 KB	02.12.15
HK14.jpg 	HK 0014	Carte du Bourdelois du Perigord et des Provinces voisines	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?HoGcTL9ozjlWX@RIO..MGw8mtrZZsjypQg4TlDhB6dx@lQ.kVcBeXZmF01tSXVaoz7arpfD5IxX.9xPXxQ5.u1TfnY5TrC2KWpFMNaRH65AhURXNX2ItSSd5lQXv2KCQtFOwBncgC@dHLevJS322ag/HK14.jpg#	21647.80 KB	02.12.15
HK15.jpg 	HK 0015	Partie Meridionale de Picardie	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?tmo8MMG8D.Mp0mmP86fa3cwps7DLdqK0veHEvCvz5lnQN@fbNCUXsQKXqkUAqshzzAQ7fn05xeFtahA8GO69CTSkiza4cafR.DpFSHc3HFDG2@1ec.0AnpPxAJ87y1zIQSnVkKrZF7tEo7RP0qV2NQ/HK15.jpg#	22068.91 KB	02.12.15
HK16.jpg 	HK 0016	Novissima et accuratissima XVII Provinciarum Germaniae Inferioris Tabula	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?lrJgYTj3gaeRa45vOREsqbITsnbDH3jeGODJl@YNKIYibJl5KESmP0zmDmVChxM0SpEsAlt@BPE4iqPyp01IHdNPUJ8h6Ggr7brmwhi2R4kf8jw5scvn6MACMjqtlHlk4mLXcWndZvbSVGE.HvOljA/HK16.jpg#	16779.56 KB	02.12.15
HK17.jpg 	HK 0017	Magni Turcarum Dominatoris Imperium per Europam, Asiam, et Africam	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?GAq.fe5XQ22@p.CSfK0xqoofzPRypUvlH90ej@3Tg9.WvmUOH7TpYXHQoOO1ysQVpps5AhE27Hu.bfKIlIaivOd4f.POfyN7wWTORN1uP8Ntf7WGu83rsVbLwxAsvz9QfCpRmJQi0pfe@uJANX0Pag/HK17.jpg#	20997.62 KB	02.12.15
	HK 0018	Theatrum Belli Ao. MDCCXXXVII a milite Augustae Russorum Imperatricis adversus Turcas Tattarosque gesti			
HK19.jpg 	HK 0019	Moscoviae pars Australis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?6ygmS4PJJmKf.1dOU3GZzkHFSk1Xq41Z@g2rhuY5HfWNvWjXTU4sDwtMZeWoxxFMug19DmqpaY@LXGXmiFVvm4bP5ZW7klEZjEkfyMKAf3p9LswrqIaRqkdklINCPR36bSD9gmK.7R86.9hwXT08vw/HK19.jpg#	12858.84 KB	02.12.15
HK20.jpg 	HK 0020	Post Karte von der Halbinsel Taurien oder Krim	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?1Cd.OExNwCdLnW1xSS7rB.03i.L6Qxx1icOtMP@eJF7i9rfynxNxqhu1SMw7QMRDtUr7T.LYKFSStE.S0LYMvoaEnW49zfenBj80uDS1x6qsLDw8F.fObOe3gRmVsaxC2EGFtRZU3yMT9dsozUI21A/HK20.jpg#	9782.19 KB	02.12.15
HK22.jpg 	HK 0021	Charte des ganzen Russischen-Reiches in Europa und Asien	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?2YBqQxhVXwPyK699km2vWi7X2vU5Ws4EzmJVqTCPlLNM6E9keYR.b@OSItubf23QNkDQ6AAA4xWiXqYD49YRJsVcrpVHwrsavRRU39LcFykb3Rf2pOHlFcK2n.rBsBaNmwgrZfxi8H7vrBroATwfDw/HK22.jpg#	15538.97 KB	02.12.15
HK23.jpg 	HK 0023	Gallaecia Regnum	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?7@Dp@CnI@rmPcmEB9cf08mhJmweQ891XjbVQrd497wfdgONqrYli0kwVrpsiTqNoCfp.Huom4kxbv8R3zEvxBP89.TfDXwL7VovTf9acWyRO0nGhi1mOMGMGZwg.YOKTcmEVD1PtTzv4MXMmUXJNug/HK23.jpg#	14727.26 KB	02.12.15
	HK 0024	Carte Hydrographique & Chorographique des Isles Philippines			
HK25.jpg 	HK 0025	L'Espagne divisée en tous ses Royaumes et Principautés	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?bdubJkETDZ@yKyZCWhBid0j533MSTSPOkvUDvOX0Q0Tlm1kdIxg6RYNBDU9usd2CVHGltold2D0laz@RE@iOAdqqdC2GWuBjloIuGYco68tdXVo02iHEi12oLOwJ2bGRwzpVKPgMFvBoQ8Ty2pTOiA/HK25.jpg#	23570.38 KB	02.12.15
HK26.jpg 	HK 0026	Il Regno di Leone	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?4JIuOvrHaH@dHvrlQBcoFVQvJC0vBfP4Er1Kn0uYG1SWzYB11h7qVyUa4FZzVl4lP2fIJNWkIEgx.4Y52AGsFH.CqkekkuBbuLWei2CcntFksNEaUvUtPq9g4Kiy5JYHkvExfZ3ZAt7kp0yhrFB7Fg/HK26.jpg#	15465.52 KB	02.12.15
HK27.jpg 	HK 0027	Les Royaumes de Valence et de Murcie	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?M83uzask6ug9U76xtgxzggEDz75N1JWcLicmr.7tQ@Fq5zkvIHsOld49xF39TMAEzCa45W96hSsDnffd4L@2HyPHXQC56irKkjcNVfEj0K1Fv.tewZTrusWSUl7xo0BqFEMFhchart.N7ce.Llz.mA/HK27.jpg#	18008.79 KB	02.12.15
HK28.jpg 	HK 0028	Les Royaumes d'Arragon	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?kUGDzLHFaXSH1o9IPgF35T9cvK0rM9@kZ.H1ZaeRg4kJNWOI1G7Xw8shZU4S86JpoQ63TvxtSGJE3vHOLoF93bDQnEP@b2lrYelDbeTcOzGuyWxbG7YaKuBgkWF6I3fKFnwiBgY38mZInfWsAWmYBQ/HK28.jpg#	19510.05 KB	02.12.15
HK29.jpg 	HK 0029	La Castille Vieiele et Nouvelle L'Estramadura De Castille Et De Leon	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?IMeiAEOB8SmcN0OF7kgeApNnXbmMGhRzd5A5TIrL0R6gCImDui1YjAIe99is3hfJKOfftv8T9J3QabopiRU46utAxXtQi0czJdGZzSpKGWIc4UsE9rSt2Y@2OSHls2Ey@6pg1s@CsP.KF7aCmjYOWA/HK29.jpg#	20006.81 KB	02.12.15
HK30.jpg 	HK 0030	Les Frontieres De France et D'Espagne	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?@lhWSZeugb53Qh@XB3z.ZnDi8zckRE3r.yne3.vi0.LQrH7Gv5v5JTIRaGB@cMNZ33Ncquy81F2CpCIOzkQ7ZM@XQvGxf@AK2zP6wki7v77BRU52KU5vtH1xJlJCPhbKU9nhl0GKnbil3YkWO79B2A/HK30.jpg#	20618.52 KB	02.12.15
HK31.jpg 	HK 0031	Les Royaumes de Grenade et d'Andalousie	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Iu32QVtM@ZQkItHkdfNTw7Qaz1pDPKDXoRxoUN1qxT00T8N.WduQvj4sjmGfTHyH9Kh75tWU1yLICzVEJbnlZvjBaNAqOJ1SXZvE09QCdd6B0uB9bD3a25tFXxG.a99V1Fl417rV7ta0AcepcLnQTQ/HK31.jpg#	18514.46 KB	02.12.15
HK32.jpg 	HK 0032	L'Espagne	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?BFAMLVW@wwe7RK8vMNifTiGvJNy6TcDIYK4uHWViL2UsP4ET8WA1XImGN1gI6x7DUePVEv.JGYxX3amYWs1VVnHWs3t8RIyy6a7GwRYPT65lf8J5aLP.WKhXV54YbVRd8rPCkEht1Nubrd30d3AjIw/HK32.jpg#	18781.05 KB	02.12.15
HK33.jpg 	HK 0033	L'Espagne divisée en tous ses Royaumes et Principautés	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Xjzp0QbHMldQDrbOHiRQQ.mpvSWT4YoWWUvm5imljnsrVkDPltG@sqVck4JCMRuJ1XreWoKN7K7@1TjcY5SZeecEAD0iqqW.kUo0OmgzU3QF@0nFbxmpE7OkOxligBoftnzcbf6MxTWZiLFKOz8DHw/HK33.jpg#	20213.68 KB	02.12.15
HK34.jpg 	HK 0034	Le Royaume de Galice Divisé en plusieurs Territoires et les Asturies Divisees en Asturie Dóviedo et de Santillana	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?gOIxOh7nehJacXopJ4WwGjKU.V2oUbjGnTGitRpg3twqn5WJPug7wdwbBaWqjIWRr6qJVuK8mJSHSN2hwbORewDicXfk.DdNAIu6Ko6t8Xhm@OsawflA3qWd5BxppGs3Mz2nQHiK.DBgPNAv6wzs@A/HK34.jpg#	22515.23 KB	02.12.15
HK35.jpg 	HK 0035	Royaume de Navarre	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?n8PID8eaM6dsN1wGPuJvsajsqlZnJuWQcltfn0.5lYLt.Qy5P@aPvsWwejTx9A9wkPMeVLpnLsX@jYHGXnaaB8QprL1mkSec8YsCo4RhBGlJ0etvED1n3erAxf@I7KBrFwpHMJAvN75CZSdyJ6zLpw/HK35.jpg#	16459.21 KB	02.12.15
HK36V.jpg 	HK 0036	Regni Valentiae Typus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?D@fZg7od1XeducqZlhG3qHhPGk5pA2neMXnEsBlUb6X4dNPSgNsfMIhR1x5ii35V.nDKEIyON1EB9ElUsnHZnF70hLhbrWjp@NiHPJjLlX.hz7FMhCxePogiw79Apqte6SJOOcdTwdqn6RCBYV4VBA/HK36V.jpg#	12452.43 KB	02.12.15
HK36H.jpg 	HK 0036	Regni Valentiae Typus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?L6tDRQbXqB..io6qFFF.42.CCkiSBrpv8GXL4HvJ5oBis0fF1v.MgzY2I3EILkSD65vka9.3bSuSWBXy4gx0UHCmRgNXf4pvKT07ePXaTCPbkjPIpjvlpbMsxLTGoSwcmqG.7DTqGEjMRSIUlCrrNw/HK36H.jpg#	11649.45 KB	02.12.15
HK37.jpg 	HK 0037	Der Österreichische Kaiser-Staat	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?oPYkHp6kwMzCVmChbB2al4X5.70zp638Y01DfIOBZzOYiutM0zLN2X7oIdW2uprVEj3HypCPUMAMoaPm9pNTJddCz2JVcvyRxgxIAvgbYS365G@A.RuBJOtP5I@EKv@MXBUyx6H9QM1dTwloYz.bxA/HK37.jpg#	27349.56 KB	02.12.15
HK38V.jpg 	HK 0038	Hannonia	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?rQKLZRFoPExIuqgw37TmEpcFFO2BlWo7Gd8T6@7Uzbyl9wxo4W8EhAmqlSVd2De92k.xwXQwg4yVTM27OqjC1Y7BzeNqoheINpKwlSME1lFEUt3zFc3Cc2SyGSeincEV54raKjvn2Wju88Zm.gJdiw/HK38V.jpg#	13454.16 KB	02.12.15
HK38H.jpg 	HK 0038	Hannonia	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?RT0kgNnhoF@RTw.UA7@neQpo.1@mEXhpiTsh6ImdAWXAwTIoEV5s61y8Ix8fNWMLp4TGRLozST6v36WuMKH2OXT8qTag@A7Us2uMAtnrkZt5kElt6VSCdXVVVj4ojS6Aw8jdyjTRpXnRfJMtg1pt1g/HK38H.jpg#	11154.79 KB	02.12.15
HK39.jpg 	HK 0039	De Heerlycheyt Van Over-yssel	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?L4un.IxNNe1kWbEshKMpLtcvjYdkL6Nyx2bmke.GxEV5OgZ96@dtK3gCFq2NlL3XLfXJ9KJnI.KGNfI.EC2QKnw6aod4iZhVsRdFiWOMaUZAgHvS@xiCwLSFP67CscgVNh5T59yB6BP5zxaQOHrwJw/HK39.jpg#	12069.19 KB	02.12.15
HK39A.jpg 	HK 0039	De Heerlycheyt Van Over-yssel	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?BbOdrIG8izd1OiULlgrRHudmQG06E8r40zryI0DfJkkWMXkivRsdedFjj5cdRTP4IW@Ao.U9@BCbhFVJsbhq@TE4xVl45AI5H2y7@SdcJyiRgke.vAztYizp8Mr2tCGNeHDUP7fgaA4Q36rXLbAqsA/HK39A.jpg#	11720.99 KB	02.12.15
HK40V.jpg 	HK 0040	Flandria Comit.	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?laXW4jM6xqM8E92cZ1xQUUruvPJbuWGFgB.74sDA@FZAjTPpYhjI8.fa.a7uLa26.EHFPIo7MuzkmwNIchn8MvRK@36ceBNyEWj3E3ObqZUjaeiN.0HJLbdDhG53OznGxWXSzFwYy229CoNk63t@3g/HK40V.jpg#	13011.60 KB	02.12.15
HK40H.jpg 	HK 0040	Flandria Comit.	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?7wN9EpLyjhAv4WDRmgD1JkYzUzIh4KaqbhOg4wS6oMCvwrYZRwSfXeDmwN7X9Y1@44xCLA4mBm92ddeohrm7A6i1zLHFRGUhIlYZ9YVfE0MIWiDU6hlylxVmTj2idDbBFgUxiUSvIVeoS3SLXEyb0g/HK40H.jpg#	12133.35 KB	02.12.15
HK41.jpg 	HK 0041	Leodiensis Diocesis Typus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?6mPyyD5u0AFjTWZJMWFPAVxZ6hiymd5TAT2wMzLgeHd9ZkrIwnZcnWlXnPxHcbS3xd5aGkHC4k4V13tjy4IliGX3v31cu5hDRjNd6luW9qnHnjnMqae.LaPzIjr03bO6@CQlU9oRycfCNPgtdI5lmg/HK41.jpg#	12437.62 KB	02.12.15
HK41AV.jpg 	HK 0041	Leodiensis Diocesis Typus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?SuebLNRmNu7aGOYhV6.iTQ17Oxh.oOnwT5t4BI0pv96SIX6xVmkScvIR.TYhH6KnJ7NRb5xtQav4R1LvElco9cHwx9fZC2XVP2SYQqNOyQ516PstXS.pQv8Aaj68tcBEhuJjM8tyYt5dEdJRdOIMLQ/HK41AV.jpg#	13926.73 KB	02.12.15
HK41AH.jpg 	HK 0041	Leodiensis Diocesis Typus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?0H4UAqNZw4tftLoHwycKixPeAI8b2UIzMphq8n4bpeBdvTm4yDdJ7BBZ.m8JotKIFxqEVGbwF6iKnAvCS@i6kWDhUrADCPr@ZUtgET5Ry@Jp.ve3VXEIGlIxLKPFKWvWk6f5AWJUh5x0Wegwce8oZg/HK41AH.jpg#	11977.42 KB	02.12.15
HK42.jpg 	HK 0042	Novissima et Accuratissima Brabantiae Ducatus Tabula	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?EsVvIczkt9KncIUIPqU95Gglv2yo7hTW4az1WtYnhhVemdut8vu.pqUX.O11k1@8w2QAjVBuvG1Ims4BF8qA16WMLFWYA7OiZRhHo9.AQWKMB45zq9VE5bPO2muCkEGDX2rtdupWiqxR3JlPgLZdfw/HK42.jpg#	12500.26 KB	02.12.15
HK43V.jpg 	HK 0043	Limburgensis Ducatus Nova Descriptio	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?IpaB5ELZm1CblZ8bR1vytFFsWuKgMoMx1Nqwh.@KsE2a8jVg7S9Td@em.tpmy.yeaj2gbW1zx3o.z740OsGl40tkDLxyyyDJeZN5nfKKdWYGck.7kNnsn41NcK3vSyMXEqF3QxC0dZ.XT0WhJyZeEw/HK43V.jpg#	12215.65 KB	02.12.15
HK43H.jpg 	HK 0043	Limburgensis Ducatus Nova Descriptio	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?NMSIm2p99DeCuxxzs77kEQFAVS7wvHiGOCf4bodswYXpvm@nWIeffNXzfq0v.XqK@9@J1ALXkJSirh0izp55Bgh9COc5kuiCjEyH5kM7Wc1BlSNWNcLMqg513NfH5UH9aK2DpzqEsQpv8VY1NAl78A/HK43H.jpg#	11159.09 KB	02.12.15
HK44.jpg 	HK 0044	Namurcum Comitatus	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?oPBlRLErBT4Aig9EJFJGRO.ZnHMuUv0K3Sf83rMpkUkUqsF5ob35oOBMlsFf7aov5NmMVWD0W2v0n6bsXzR0VyXahRNrIrCTICyx0mw4KHt.uQG.0ZYL3Dwg2BrIW@NFVOOnPTjSMiJ1SAaCgf62LQ/HK44.jpg#	10700.03 KB	02.12.15
	HK 0045	Deutschland, Königr. Der Niederlande, Kgr. Belgien Und die Schweiz			
HK46.jpg 	HK 0046	[Grafschaft Seeland]	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Z0g.ycdJKl@z6QGJ1wdCTglg5K0YaL5pldwsX6@QTa.K7@gusZNcgfUCaapyQmMw9f72jZNhgH8b8xc1n@khtrgD6qRiVsWELEE16YTrev.pY0K4xxsU985IL0GLnd4cN2nqFYEibfoguM9NsMeX.w/HK46.jpg#	11978.72 KB	02.12.15
HK47.jpg 	HK 0047	Comitatus Hollandiae Tabula	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?UD@ZoIo5uofHPUjG4ES1NTCrTi4MxGFqiL9Zc5.DocVO@JiGYh0cCjogKSMjgGnd@sHg8mnmkz5sGkh4Yi6KYN5RvPj@0Rkqr9jWRx8zYs4NC39yGLkz3asCi5ZX8C4JKOvqcMfY22G6ufhFFcI.7w/HK47.jpg#	15955.96 KB	02.12.15
	HK 0048	Carte des XVII Provinces des Pay Bas			
HK49.jpg 	HK 0049	Principatus Silesiae Lignicensis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?aVzZbxpDyLs4bByeQ3bHZR6r.8nRZTO9eZtaoVEJRVf5O5aVt3ysSXdgez@X9klRQJmUWFzm6VeTXS4@AebgcO0WW5kwgEVHBWxHIxbYGO1c1tHYpcsu74QMThg@7k36njC6vjJGu3PpHfivmwlRHA/HK49.jpg#	25826.41 KB	02.12.15
HK50.jpg 	HK 0050	Evêché et Seg[neu]rie de Liege a Son Evêque, Duché de Brabant au Roy d'Espagne, Comté de Limbourg au Roy d'Espagne et aux Hollandois, Comté de Namur au Roy, Duché de Iulierts au Palatin du Rhein	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?jvg9qd.HsfnbII1ZTzMFM55cC6aSfvZzFxpnhPnnOboF9rfsaBNlOEL1olMGC.WwXSAZmOD3zOl0Z0@1Kz5xbPznegIr62RbOySPHoaFSBXI@y0kzLOc1Cc@155V8PP7Treb6FYY9fuknYca41wu5A/HK50.jpg#	14930.83 KB	02.12.15
HK51.jpg 	HK 0051	Carte Nouvelle du Duché de Modene, de Regio et de Capri avec la Seigneurie de la Cafargnana etc.	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?JlfAW0@eZeAPNnI0HXv@JGmO4Outlmu0E8UxykaF2s@BxUIqk4U9j@MIWi9d@3zIiLmgEIW0ZXj42U.sYuOkDyP6FIKbX09asqs8OHy.bWzTfwCCwq77pTpLGzCT3MkPiJMPsRtsvN..ch37bV@f9A/HK51.jpg#	16078.34 KB	03.12.15
HK52.jpg 	HK 0052	Belli Typus in Italia, victricis Aquilae progreßus In Statu Mediolanensi et Ducatu Mantuae demonstrans	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?HWg1hHZEa8rvqv.k5KsV7KLBq5bw.yPC@xZveEHUYTJtY70qWRx@sZq2iqWeOPy0RezQWK3CB0sINQOpR.w6xVwbMKZ6ELDRa3AY9IdvrPzVmuqCG8vu2VsTMa54365KxyIOHuLlwynWR30P596wPQ/HK52.jpg#	17426.36 KB	03.12.15
HK53.jpg 	HK 0053	Regnorum Siciliae Et Sardiniae nec non Melitae seu Maltae Insula cum adjectis Italiae et Africae Litoribus Nova Tabula	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?MRMTeE2wrX6xIwAcMMUTqQwkiF8JWI6hIn4z@EpD.VDUKccWrfTz2A.v5UlWAYjEqYeQTMMJaar4Z6bqAESZnb7NXZbnfn8YAN6piYaZluwpI@9ZpdYU0rhwvERxyzHW.BES9xRfUbw81zdcmrGDuw/HK53.jpg#	15975.69 KB	03.12.15
HK54.jpg 	HK 0054	Status Mutinensis in Suas Ditiones utpote Ducatum Mutinensem, Reginensem, Mirandulanum, Princiratum Carpiensem et Corregiensem exacte divisi, nec non finitimarum Regionum novissima Tabula	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?wJPQtGr@o8tMxzD85YRRUdwhTlmoS9F0.rUHsRxNWCDEdjkBObAzyrQIzqrJE2pygybB14AuRRzuTbRwQxtTClcKf@pyE1C4WZCZHWVikg2r.Y4T3bLS4FikSVBj43OnhAy1jsXFwX1nkwUJUAc43Q/HK54.jpg#	17088.97 KB	03.12.15
HK55.jpg 	HK 0055	Novißima et exactißima Totius Regni Neapolis Tabula praesentis Belli Statui	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?TAbddozf0PUos91NR6eItO0RGzfyR1M@YMc0epp6GAJv0ALq9X4XXF8p85ZaNQ8HxBuI3DScL2ZNVG2xZt7ypPplvjoXQLg@mZQEkM7BMXOVbFU9g.pvBMJn2QeZTX.vNNeSaNhNKqV7Z5MoVcTBlQ/HK55.jpg#	16176.01 KB	03.12.15
HK56A.jpg 	HK 0056a	Carte Nouvelle du Duché de Mantoue	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?56sRvQTxSn3CadCNito.BqFfge3jwVVgjmbDS8ALj40ZxNv0KCFoemhwtlzYUMAnzQYlM1ZDiIv@yFet9jPA40atU09hR@5yJq2rGChggNy1KLkg9yBKkvX2.nJ.mkZFQGH9ZOh9EFaU183XwcwVgg/HK56A.jpg#	17079.46 KB	03.12.15
